state,positive_cases,total_tests,percentage_positive
WY,43704.0,493080.0,8.863470430761742
AK,44280.0,1250251.0,3.5416888288831605
AL,345628.0,1843740.0,18.746027097096118
AR,214877.0,2011608.0,10.681852527927907
AS,0.0,2140.0,0.0
AZ,494337.0,4918727.0,10.05010036133333
CA,2122806.0,31826696.0,6.669891213338638
CO,325018.0,4306571.0,7.547025231907241
CT,172743.0,4125079.0,4.187628891470927
DC,28202.0,882847.0,3.1944379943523624
DE,55057.0,946340.0,5.81788786271319
FL,1250275.0,15343992.0,8.14830325771807
GA,543707.0,5233528.0,10.38891929115503
GU,7270.0,94686.0,7.678009420611284
HI,21418.0,798302.0,2.6829445498069653
IA,235539.0,1163367.0,20.246319519119936
ID,135787.0,536767.0,25.297195990066452
IL,937909.0,12985612.0,7.222678453660867
IN,493841.0,5536056.0,8.920448059051425
KS,209689.0,962204.0,21.792572053327568
KY,257063.0,3113655.0,8.255988540798514
LA,299722.0,4102652.0,7.305567228222136
MA,352736.0,10663821.0,3.3077824543378966
MD,267198.0,5572763.0,4.7947131431930625
ME,21880.0,1068862.0,2.0470369420935537
MI,516326.0,7979269.0,6.4708433817684305
MN,409061.0,5269754.0,7.762430656155867
MO,382094.0,3576638.0,10.683049277002594
MP,122.0,17551.0,0.6951170873454504
MS,206388.0,1334046.0,15.47083084091553
MT,79780.0,780119.0,10.2266449093023
NC,516828.0,6779423.0,7.6234806413466165
ND,91466.0,1229770.0,7.437650942859234
NE,161337.0,1701178.0,9.483840021443964
NH,40809.0,1009807.0,4.041267291670587
NJ,508323.0,7513786.0,6.765204651822663
NM,137968.0,1932739.0,7.138470326308932
NV,217509.0,2039790.0,10.663303575368053
NY,922145.0,24628494.0,3.7442200079306516
OH,670525.0,7607922.0,8.813510443456178
OK,279139.0,2593811.0,10.76173244696703
OR,109725.0,2537482.0,4.3241686049398576
PA,610025.0,3841488.0,15.879914241564727
PR,73227.0,379199.0,19.310968647069217
RI,84941.0,1939989.0,4.3784268879875095
SC,296179.0,3102884.0,9.545281099776853
SD,97390.0,368785.0,26.408340903236304
TN,564080.0,5560918.0,10.14364894429301
TX,1668597.0,13456336.0,12.400084242842926
UT,264874.0,2195885.0,12.062289236458193
VA,333576.0,4149987.0,8.03800108289496
VI,1979.0,35184.0,5.6247157798999545
VT,7029.0,682083.0,1.0305197461306028
WA,236719.0,3710779.0,6.379226572102516
WI,508580.0,5252692.0,9.682273394290014
WV,80710.0,1466530.0,5.503467368550251
WY,43200.0,478351.0,9.031025334952785
AK,43990.0,1245063.0,3.53315454719962
AL,343458.0,1839635.0,18.669899191959274
AR,213969.0,2006792.0,10.66224102946394
AS,0.0,2140.0,0.0
AZ,493041.0,4893296.0,10.075846627712691
CA,2072665.0,31446542.0,6.5910744653577495
CO,323619.0,4274788.0,7.570410509246306
CT,172743.0,4125079.0,4.187628891470927
DC,27710.0,864407.0,3.205665849536156
DE,54473.0,939229.0,5.799757034759361
FL,1243118.0,15281351.0,8.134869750717721
GA,540758.0,5218474.0,10.362377967198839
GU,7269.0,94685.0,7.677034377145271
HI,21323.0,795578.0,2.680189748836695
IA,235061.0,1161680.0,20.23457406514703
ID,135233.0,534632.0,25.29459516078349
IL,934142.0,12939386.0,7.219368832493288
IN,492021.0,5517514.0,8.917439991996396
KS,209689.0,962204.0,21.792572053327568
KY,255563.0,3113655.0,8.207813646662846
LA,296499.0,4075822.0,7.2745816672072525
MA,349602.0,10622490.0,3.291149250317016
MD,265440.0,5546035.0,4.7861219772323835
ME,21547.0,1068529.0,2.016510548614029
MI,516326.0,7979269.0,6.4708433817684305
MN,406545.0,5187026.0,7.837728208804043
MO,380643.0,3568549.0,10.666604269690566
MP,122.0,17551.0,0.6951170873454504
MS,205023.0,1332681.0,15.384251745166322
MT,79433.0,778541.0,10.202802421452436
NC,513930.0,6749530.0,7.614307959220865
ND,91355.0,1228197.0,7.438138995617153
NE,161162.0,1699527.0,9.482756084487038
NH,39933.0,1005609.0,3.971026512292551
NJ,505428.0,7510891.0,6.7292682053301
NM,137226.0,1923907.0,7.132673252917112
NV,215653.0,2030683.0,10.619727451305792
NY,914522.0,24498195.0,3.7330178815214756
OH,664668.0,7534051.0,8.822186098819879
OK,276508.0,2591180.0,10.671122808913314
OR,108326.0,2537482.0,4.269035208919709
PA,605141.0,3826249.0,15.815515404251004
PR,72443.0,378415.0,19.143797153918317
RI,84208.0,1929801.0,4.363558729630672
SC,288892.0,3031335.0,9.530190493627396
SD,96963.0,367781.0,26.364330946949405
TN,560892.0,5548115.0,10.109595781630338
TX,1660551.0,13367338.0,12.422450902341215
UT,264078.0,2192624.0,12.043925451878662
VA,329577.0,4128799.0,7.982393911643555
VI,1979.0,35184.0,5.6247157798999545
VT,6966.0,680816.0,1.0231839439731147
WA,233093.0,3649210.0,6.38749208732849
WI,506022.0,5241343.0,9.654433987624927
WV,80177.0,1461631.0,5.4854474214080025
WY,43146.0,478351.0,9.019736553284096
AK,43629.0,1227735.0,3.5536170264755835
AL,342426.0,1834424.0,18.666676842431194
AR,213267.0,1998908.0,10.669175369751885
AS,0.0,2140.0,0.0
AZ,486935.0,4836931.0,10.067023904207026
CA,2042290.0,31066861.0,6.5738537279321525
CO,322189.0,4251042.0,7.579059440014942
CT,172743.0,4125079.0,4.187628891470927
DC,27436.0,856781.0,3.202218536592198
DE,53653.0,929429.0,5.772684088833036
FL,1226530.0,15093456.0,8.126236959911633
GA,537079.0,5188835.0,10.350666382723675
GU,7268.0,94684.0,7.67605931308352
HI,21204.0,780457.0,2.7168697314522134
IA,234751.0,1160420.0,20.229830578583616
